# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22149787
#   serial: "22149787"
#   width: 1280
#   height: 1024
# created_at: "2019-11-07T12:42:20.295458019+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 450
#       radius: 430
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
1814383,655520,415.5,578.2,1.557,4489,16000,0,0
1820009,655521,415.6,578.1,1.560,4410,16000,0,0
1822168,655522,415.6,578.2,-1.565,4477,16000,0,0
1823351,655523,415.6,578.1,1.564,4341,16000,0,0
1825944,655524,415.6,578.2,1.546,4381,16000,0,0
1832090,655525,415.6,578.1,1.547,4297,16000,0,0
1837728,655526,415.6,578.1,1.550,4338,16000,0,0
1843623,655527,415.6,578.2,1.560,4366,16000,0,0
1849574,655528,415.7,578.2,1.564,4340,16000,0,0
1855486,655529,415.7,578.1,-1.564,4328,16000,0,0
1861351,655530,415.6,578.1,1.549,4418,16000,0,0
1867445,655531,415.7,578.2,1.548,4496,16000,0,0
1873155,655532,415.6,578.2,1.552,4297,16000,0,0
1879111,655533,415.6,578.3,-1.569,4405,16000,0,0
1884952,655534,415.6,578.2,1.568,4340,16000,0,0
1890906,655535,415.6,578.2,1.542,4448,16000,0,0
1896825,655536,415.6,578.3,1.539,4290,16000,0,0
1902795,655537,415.6,578.3,1.542,4413,16000,0,0
1908629,655538,415.6,578.2,1.533,4346,16000,0,0
1914539,655539,415.6,578.2,1.545,4392,16000,0,0
1920425,655540,415.5,578.3,1.566,4315,16000,0,0
1931932,655541,415.6,578.3,1.554,4348,16000,0,0
1932529,655542,415.5,578.3,1.543,4402,16000,0,0
1938264,655543,415.5,578.4,1.543,4528,16000,0,0
1944094,655544,415.5,578.2,1.552,4329,16000,0,0
1950037,655545,415.5,578.4,1.551,4304,16000,0,0
1955916,655546,415.4,578.4,1.548,4357,16000,0,0
1961820,655547,415.5,578.5,1.550,4360,16000,0,0
1967749,655548,415.5,578.4,1.557,4423,16000,0,0
1973648,655549,415.5,578.4,1.511,4247,16000,0,0
1979517,655550,415.5,578.5,1.550,4343,16000,0,0
1985537,655551,415.5,578.5,1.570,4280,16000,0,0
1991373,655552,415.4,578.5,1.548,4449,16000,0,0
1997290,655553,415.5,578.6,1.558,4230,16000,0,0
2003144,655554,415.5,578.6,1.563,4367,16000,0,0
2009102,655555,415.4,578.5,1.531,4293,16000,0,0
2014980,655556,415.5,578.5,1.565,4347,16000,0,0
2020918,655557,415.5,578.5,-1.556,4104,16000,0,0
2026791,655558,415.4,578.7,1.561,4405,16000,0,0
2032717,655559,415.5,578.6,-1.557,4368,16000,0,0
2038607,655560,415.5,578.6,1.547,4335,16000,0,0
2044551,655561,415.4,578.6,1.550,4421,16000,0,0
2050429,655562,415.4,578.6,-1.569,4374,16000,0,0
2056329,655563,415.5,578.5,1.530,4343,16000,0,0
2062284,655564,415.5,578.6,1.557,4346,16000,0,0
2068080,655565,415.5,578.6,1.561,4272,16000,0,0
2074822,655566,415.5,578.6,1.554,4353,16000,0,0
2079976,655567,415.5,578.6,1.522,4432,16000,0,0
2085916,655568,415.4,578.6,-1.568,4249,16000,0,0
2091795,655569,415.5,578.6,1.568,4245,16000,0,0
2097700,655570,415.4,578.6,1.568,4295,16000,0,0
2103710,655571,415.5,578.6,1.562,4366,16000,0,0
2109499,655572,415.5,578.5,1.560,4349,16000,0,0
2115423,655573,415.5,578.5,-1.560,4197,16000,0,0
2121376,655574,415.5,578.4,1.554,4337,16000,0,0
2127270,655575,415.5,578.6,1.566,4336,16000,0,0
2133132,655576,415.4,578.6,1.555,4213,16000,0,0
2139025,655577,415.5,578.6,-1.570,4398,16000,0,0
2144929,655578,415.6,578.5,-1.564,4242,16000,0,0
2150838,655579,415.5,578.5,1.542,4404,16000,0,0
2156758,655580,415.4,578.5,1.562,4412,16000,0,0
2162674,655581,415.5,578.6,-1.558,4382,16000,0,0
2168558,655582,415.5,578.6,1.566,4243,16000,0,0
2174478,655583,415.5,578.6,1.555,4356,16000,0,0
2180706,655584,415.5,578.5,-1.556,4223,16000,0,0
2186303,655585,415.5,578.5,1.560,4447,16000,0,0
2192188,655586,415.5,578.6,1.565,4302,16000,0,0
2198082,655587,415.4,578.5,1.560,4371,16000,0,0
2204045,655588,415.5,578.6,1.570,4402,16000,0,0
2209970,655589,415.4,578.6,1.569,4213,16000,0,0
2215821,655590,415.5,578.5,-1.549,4301,16000,0,0
2221742,655591,415.5,578.5,-1.567,4349,16000,0,0
2233494,655592,415.5,578.6,-1.546,4330,16000,0,0
2236002,655593,415.5,578.6,-1.562,4296,16000,0,0
2239584,655594,415.5,578.6,-1.551,4367,16000,0,0
2245342,655595,415.5,578.6,1.562,4312,16000,0,0
2251283,655596,415.5,578.6,1.561,4359,16000,0,0
2257225,655597,415.6,578.5,-1.549,4322,16000,0,0
2263154,655598,415.5,578.6,-1.565,4264,16000,0,0
2268978,655599,415.5,578.6,-1.566,4430,16000,0,0
2274927,655600,415.5,578.7,1.562,4360,16000,0,0
2280824,655601,415.5,578.6,-1.568,4284,16000,0,0
2286687,655602,415.5,578.6,1.570,4274,16000,0,0
2293781,655603,415.5,578.7,1.561,4232,16000,0,0
2298508,655604,415.6,578.6,1.562,4507,16000,0,0
2304484,655605,415.6,578.5,1.542,4297,16000,0,0
2310470,655606,415.7,578.6,1.552,4280,16000,0,0
2316256,655607,415.7,578.5,1.570,4377,16000,0,0
2323463,655608,415.8,578.6,1.552,4231,16000,0,0
2332092,655609,415.7,578.7,1.557,4381,16000,0,0
2333997,655610,415.8,578.6,1.555,4285,16000,0,0
2341239,655611,415.8,578.7,1.536,4289,16000,0,0
2345838,655612,415.8,579.0,1.543,4318,16000,0,0
2351635,655613,415.9,578.9,1.547,4198,16000,0,0
2357552,655614,415.9,578.9,1.539,4294,16000,0,0
2363520,655615,415.7,578.9,1.570,4272,16000,0,0
2369460,655616,415.9,578.9,1.570,4231,16000,0,0
